Date,Count
17 June 2023,28
18 June 2023,24
19 June 2023,23
20 June 2023,25
21 June 2023,43
22 June 2023,35
23 June 2023,30
24 June 2023,30
25 June 2023,27
26 June 2023,27
27 June 2023,27
28 June 2023,51
29 June 2023,67
30 June 2023,61
01 July 2023,49
02 July 2023,64
03 July 2023,154
04 July 2023,117
05 July 2023,152
06 July 2023,190
07 July 2023,178
08 July 2023,188
09 July 2023,243
10 July 2023,189
11 July 2023,185
12 July 2023,161
13 July 2023,152
14 July 2023,161
15 July 2023,153
16 July 2023,387
17 July 2023,366
18 July 2023,336
19 July 2023,264
20 July 2023,215
21 July 2023,200
22 July 2023,203
23 July 2023,168
24 July 2023,174
25 July 2023,169
26 July 2023,182
27 July 2023,121
28 July 2023,110
29 July 2023,116
30 July 2023,117
31 July 2023,91
01 August 2023,78
02 August 2023,66
03 August 2023,44
04 August 2023,38
05 August 2023,45
06 August 2023,43
07 August 2023,44
08 August 2023,35
09 August 2023,29
10 August 2023,28
11 August 2023,27
12 August 2023,29
13 August 2023,27
14 August 2023,27
15 August 2023,35
16 August 2023,36
17 August 2023,29
18 August 2023,36
19 August 2023,36
20 August 2023,46
21 August 2023,28
22 August 2023,27
23 August 2023,27
24 August 2023,26
25 August 2023,25
26 August 2023,30
27 August 2023,26
28 August 2023,26
29 August 2023,26
30 August 2023,26
31 August 2023,27
01 September 2023,26
02 September 2023,37
03 September 2023,45
04 September 2023,53
05 September 2023,49
06 September 2023,45
07 September 2023,62
08 September 2023,52
09 September 2023,69
10 September 2023,62
11 September 2023,89
12 September 2023,59
13 September 2023,47
14 September 2023,36
15 September 2023,32
16 September 2023,31
17 September 2023,31
18 September 2023,32
19 September 2023,30
20 September 2023,29
21 September 2023,37
22 September 2023,36
23 September 2023,35
24 September 2023,33
25 September 2023,36
26 September 2023,32
27 September 2023,33
28 September 2023,32
29 September 2023,28
30 September 2023,27
01 October 2023,50
02 October 2023,50
03 October 2023,33
04 October 2023,29
05 October 2023,27
06 October 2023,27
07 October 2023,93
08 October 2023,111
10 October 2023,41
11 October 2023,23
12 October 2023,23
13 October 2023,24
14 October 2023,48
15 October 2023,38
16 October 2023,39
17 October 2023,51
18 October 2023,37
19 October 2023,31
20 October 2023,28
21 October 2023,79
22 October 2023,93
23 October 2023,78
24 October 2023,62
25 October 2023,48
26 October 2023,30
27 October 2023,27
28 October 2023,26
29 October 2023,32
30 October 2023,32
31 October 2023,33
01 November 2023,26
02 November 2023,24
03 November 2023,34
04 November 2023,94
05 November 2023,96
06 November 2023,74
07 November 2023,59
08 November 2023,43
09 November 2023,42
10 November 2023,51
11 November 2023,56
12 November 2023,56
13 November 2023,30
14 November 2023,24
15 November 2023,22
16 November 2023,44
17 November 2023,26
18 November 2023,25
19 November 2023,58
20 November 2023,55
21 November 2023,67
22 November 2023,66
23 November 2023,68
24 November 2023,66
25 November 2023,59
26 November 2023,41
27 November 2023,56
28 November 2023,23
29 November 2023,28
30 November 2023,20
01 December 2023,41
02 December 2023,106
03 December 2023,85
04 December 2023,60
05 December 2023,56
06 December 2023,53
07 December 2023,53
08 December 2023,45
09 December 2023,49
10 December 2023,49
11 December 2023,47
12 December 2023,60
13 December 2023,55
14 December 2023,76
15 December 2023,80
16 December 2023,73
17 December 2023,105
18 December 2023,102
19 December 2023,112
20 December 2023,106
21 December 2023,88
22 December 2023,73
23 December 2023,102
24 December 2023,94
25 December 2023,80
26 December 2023,79
27 December 2023,94
28 December 2023,90
29 December 2023,184
30 December 2023,168
31 December 2023,111
01 January 2024,106
02 January 2024,70
03 January 2024,64
